Title boost value,Content boost value,Date boost value,Publication boost value,map score
4,0,4,4,0.0374
5,0,4,4,0.0374
0,1,4,4,0.3063
1,1,4,4,0.2366
2,1,4,4,0.1604
3,1,4,4,0.1202
4,1,4,4,0.0939
5,1,4,4,0.0764
0,2,4,4,0.3064
1,2,4,4,0.2880
2,2,4,4,0.2366
3,2,4,4,0.1923
4,2,4,4,0.1604
5,2,4,4,0.1375
0,3,4,4,0.3064
1,3,4,4,0.3030
2,3,4,4,0.2701
3,3,4,4,0.2366
4,3,4,4,0.2075
5,3,4,4,0.1817
0,4,4,4,0.3064
1,4,4,4,0.3065
2,4,4,4,0.2880
3,4,4,4,0.2604
4,4,4,4,0.2366
5,4,4,4,0.2149
0,5,4,4,0.3064
1,5,4,4,0.3085
2,5,4,4,0.2978
3,5,4,4,0.2775
4,5,4,4,0.2557
5,5,4,4,0.2366
0,0,5,4,0.0000
1,0,5,4,0.0369
2,0,5,4,0.0374
3,0,5,4,0.0374
4,0,5,4,0.0374
5,0,5,4,0.0374
0,1,5,4,0.3060
1,1,5,4,0.2365
2,1,5,4,0.1604
3,1,5,4,0.1202
4,1,5,4,0.0939
5,1,5,4,0.0764
0,2,5,4,0.3064
1,2,5,4,0.2880
2,2,5,4,0.2366
3,2,5,4,0.1923
4,2,5,4,0.1604
5,2,5,4,0.1375
0,3,5,4,0.3064
1,3,5,4,0.3030
2,3,5,4,0.2701
3,3,5,4,0.2366
