K1,b,map
1.9,0.5,0.2924
1.9,0.6,0.2974
1.9,0.7,0.3013
1.9,0.8,0.3037
1.9,0.9,0.2977
1.9,1.0,0.2868
2.0,0.0,0.1326
2.0,0.1,0.2312
2.0,0.2,0.2639
2.0,0.3,0.2755
2.0,0.4,0.2827
2.0,0.5,0.2894
2.0,0.6,0.2951
2.0,0.7,0.2993
2.0,0.8,0.3008
2.0,0.9,0.2953
2.0,1.0,0.2842
2.1,0.0,0.1314
2.1,0.1,0.2302
2.1,0.2,0.2620
2.1,0.3,0.2726
2.1,0.4,0.2811
2.1,0.5,0.2872
2.1,0.6,0.2927
2.1,0.7,0.2975
2.1,0.8,0.2977
2.1,0.9,0.2921
2.1,1.0,0.2816
2.2,0.0,0.1297
2.2,0.1,0.2295
2.2,0.2,0.2604
2.2,0.3,0.2695
2.2,0.4,0.2786
2.2,0.5,0.2850
2.2,0.6,0.2906
2.2,0.7,0.2962
2.2,0.8,0.2953
2.2,0.9,0.2896
2.2,1.0,0.2785
2.3,0.0,0.1286
2.3,0.1,0.2294
2.3,0.2,0.2569
2.3,0.3,0.2677
2.3,0.4,0.2769
2.3,0.5,0.2827
2.3,0.6,0.2880
2.3,0.7,0.2936
2.3,0.8,0.2930
2.3,0.9,0.2867
2.3,1.0,0.2754
2.4,0.0,0.1275
2.4,0.1,0.2276
2.4,0.2,0.2553
2.4,0.3,0.2662
2.4,0.4,0.2740
2.4,0.5,0.2809
2.4,0.6,0.2854
2.4,0.7,0.2910
2.4,0.8,0.2905
2.4,0.9,0.2839
2.4,1.0,0.2726
2.5,0.0,0.1262
2.5,0.1,0.2261
2.5,0.2,0.2542
2.5,0.3,0.2646
2.5,0.4,0.2724
2.5,0.5,0.2789
2.5,0.6,0.2831
2.5,0.7,0.2888
2.5,0.8,0.2881
2.5,0.9,0.2816
2.5,1.0,0.2693
2.6,0.0,0.1247
2.6,0.1,0.2250
2.6,0.2,0.2528
2.6,0.3,0.2627
2.6,0.4,0.2706
2.6,0.5,0.2760
2.6,0.6,0.2822
